Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Exercise_11,Exercise_12,Exercise_13,Exercise_14,Exercise_15,InjuryScore
2,4,1,10,8,8,10,6,5,7,5,10,12,13,12,0.41669580652929317
1,4,2,8,7,7,7,5,9,10,9,8,13,11,13,0.3617824623776844
2,2,4,9,9,10,5,7,6,9,9,9,11,11,12,0.06106798636743482
2,2,4,5,5,10,8,5,10,9,8,6,12,12,13,0.4188077774900376
1,1,4,7,10,10,6,6,6,10,5,7,13,13,12,0.20920312349110726
15,16,16,20,19,17,17,17,19,20,19,20,22,23,21,0.6575071636458584
14,16,14,18,19,19,18,20,20,20,17,20,23,23,21,0.9350938345411061
15,16,14,20,18,20,17,19,17,20,19,18,21,23,23,0.5135674641838577
16,15,14,19,20,17,18,20,17,20,18,17,21,23,22,0.8590833228895625
15,16,16,18,19,17,20,18,20,20,17,18,22,23,21,0.9217249463035334
15,16,14,17,17,20,17,17,18,17,19,20,23,21,23,0.5030683067685402
16,14,16,18,17,20,18,17,17,20,20,19,21,21,22,0.5097680054728541
16,16,16,18,20,17,20,20,17,17,18,20,23,21,22,0.805235303744101
15,14,14,17,17,18,20,19,17,20,18,20,21,23,22,0.6597505024003963
4,4,4,10,5,9,8,10,7,10,8,10,11,12,11,0.14431718639032443
4,3,3,6,9,8,8,9,6,6,6,9,12,13,12,0.03934328787525576
16,14,14,19,20,18,18,19,18,18,20,18,22,23,23,0.5071288810942121
15,14,14,17,18,20,17,18,19,19,18,18,21,23,21,0.6174635855471793
15,16,15,20,20,18,20,18,19,20,19,20,23,22,22,0.6584895021408596
1,1,2,5,7,7,8,8,9,10,8,6,12,12,13,0.27667690009711765
3,1,2,6,6,8,6,9,6,10,5,5,12,13,13,0.20748954292970867
14,16,16,17,17,20,19,19,17,20,18,17,21,21,21,0.5511817118323282
1,3,2,9,10,7,6,6,8,9,10,7,11,11,11,0.08530810766419905
3,3,2,10,10,6,5,9,7,5,10,5,13,11,12,0.3470628236220603
1,1,3,6,6,6,7,6,6,5,10,5,11,12,12,0.41016693785799574
14,14,15,18,18,20,18,18,18,17,18,19,22,23,22,0.9341516293134258
3,2,1,8,5,9,9,7,6,9,7,8,13,13,12,0.08003792786850283
3,3,2,10,9,5,5,9,7,7,9,10,11,12,13,0.33898789884125546
15,14,14,18,17,17,18,18,18,20,17,20,21,21,23,0.8618488437483847
15,16,15,19,20,19,17,19,17,20,20,17,22,22,21,0.8882536584584213
1,4,3,5,9,10,5,9,8,8,9,10,13,13,13,0.30475776330796334
15,15,16,20,17,17,17,18,20,18,19,18,23,23,23,0.8022750241672725
15,15,15,19,17,19,18,17,20,17,19,18,22,23,22,0.9535351486277291
3,2,2,6,5,9,7,8,5,7,9,9,12,12,11,0.4584455696045828
2,3,1,8,9,6,8,9,8,7,5,8,11,13,13,0.1976349081090477
4,1,4,8,6,5,5,8,10,6,10,5,12,11,11,0.28241024188604014
1,2,4,6,7,9,6,9,10,10,9,7,13,13,13,0.15495020826449935
3,2,1,8,6,9,10,7,8,5,7,6,11,12,13,0.24981687754387794
14,15,15,17,18,20,19,17,18,18,20,17,23,22,23,0.9768460756418184
16,16,15,18,19,19,17,18,20,19,17,18,23,22,21,0.7644962154700957
15,15,15,19,18,17,18,18,19,17,20,17,22,23,22,0.8521813294875182
14,15,16,19,17,17,17,18,19,19,19,17,21,22,22,0.9746193870497636
3,2,2,6,6,5,9,8,6,9,8,6,12,11,11,0.43300944160307187
1,1,4,5,5,8,7,8,5,10,6,9,11,12,11,0.4128072136779396
4,4,2,10,5,10,10,5,6,5,9,8,11,13,11,0.20542647383827617
4,2,4,7,7,10,6,10,9,9,10,6,11,13,13,0.2867332628509395
16,15,16,17,18,17,20,18,19,19,18,18,21,23,22,0.6480458146721374
4,2,4,5,9,6,10,10,7,7,7,8,12,13,13,0.11246337116297134
3,1,3,10,5,10,8,7,5,9,5,9,13,12,13,0.01973477812788349
15,16,15,19,20,19,20,20,19,18,19,19,22,23,21,0.5140075110223454
16,14,15,17,20,20,19,20,19,19,20,18,23,21,22,0.6717540208592752
15,16,16,18,19,18,17,18,17,17,18,19,21,21,23,0.7158129853786483
15,16,15,18,20,20,20,18,17,19,20,17,22,21,23,0.7880819910085064
15,16,16,20,18,17,18,17,20,17,20,18,23,22,22,0.7416880319815877
2,4,2,8,5,5,6,5,10,9,9,5,13,11,12,0.4852054291428216
2,4,2,6,6,8,9,5,7,5,8,5,12,12,11,0.20338449871057296
1,1,2,9,10,8,8,6,8,5,6,8,13,13,12,0.14351927396563935
15,14,15,17,17,18,20,18,20,19,20,19,23,23,22,0.7934934757236063
15,16,14,19,20,19,17,17,20,19,18,17,21,23,22,0.880780151817094
16,15,15,20,17,17,18,20,20,20,20,18,22,23,23,0.5826276823526455
16,14,15,17,17,17,18,20,20,20,18,18,21,22,23,0.896510881302463
3,3,1,5,10,5,8,10,9,10,6,6,12,11,11,0.376810238108208
4,4,2,7,9,8,8,6,7,10,9,7,12,12,13,0.1385564744610156
15,16,16,20,18,18,19,20,19,17,19,19,23,21,21,0.8806991844863696
1,2,2,10,7,10,5,9,7,6,9,8,11,11,11,0.40073054766699057
15,15,15,20,20,20,17,18,20,19,19,17,22,22,22,0.8250397938314479
14,15,15,19,19,19,20,18,17,19,20,18,22,21,23,0.820918787426039
14,16,15,18,20,17,20,18,18,18,17,18,23,23,22,0.6583779068919577
16,16,15,17,17,17,18,20,19,18,18,18,21,22,23,0.6441824988512267
3,4,4,5,6,10,7,5,6,8,10,8,12,11,13,0.1829747851534551
4,1,4,8,9,5,10,7,7,8,10,10,13,11,11,0.4180116950928894
14,16,16,17,20,19,17,17,19,18,18,20,22,22,23,0.9517838405432014
16,14,14,18,19,17,19,19,20,18,20,20,21,21,21,0.5932243981751308
15,15,14,17,17,17,18,19,18,18,18,17,23,22,22,0.5274856584887695
2,3,2,10,8,9,9,5,10,9,8,8,13,13,11,0.17205749486229283
15,16,15,18,19,19,18,18,18,17,19,19,23,21,22,0.7258625900211846
14,14,14,17,17,17,19,17,20,19,19,17,22,23,22,0.83258316171381
1,1,4,9,7,7,10,7,9,8,6,8,13,13,13,0.20844242564181614
4,4,3,10,9,8,5,7,8,9,7,5,11,13,11,0.4256477278211803
14,16,15,17,17,20,18,17,18,19,18,20,22,21,21,0.9595515620017002
14,16,14,18,20,17,18,19,17,18,18,17,23,22,23,0.7433463541983072
15,16,16,19,19,17,18,18,18,19,20,18,23,21,23,0.7334446131332538
4,1,1,5,8,8,9,8,5,6,9,6,12,11,13,0.38503202464337205
15,15,16,20,20,17,18,17,19,18,19,18,21,21,21,0.9634442378884023
15,16,15,19,19,18,19,19,20,19,20,17,21,22,23,0.8819695030250116
4,1,1,7,5,8,10,5,9,10,5,5,12,11,13,0.3715769523629714
15,16,15,19,19,17,17,19,18,18,18,19,23,21,22,0.5085997949007279
3,4,4,6,10,5,9,9,6,8,6,7,11,11,12,0.2754083292451037
3,1,3,9,8,5,8,9,10,10,10,10,11,12,12,0.23476033549035658
16,14,16,18,17,18,20,18,19,17,17,18,22,22,23,0.6805867005281677
16,14,15,18,20,17,18,20,18,18,17,20,21,23,23,0.6639522233726043
4,4,3,9,5,9,10,9,10,8,6,7,12,12,11,0.43265822557412115
16,16,16,17,18,17,20,17,17,20,19,17,23,21,23,0.9179512783836418
15,15,14,19,20,20,18,18,18,18,19,20,22,23,22,0.6015933185616331
16,15,16,20,17,19,18,20,18,17,19,19,23,21,23,0.9281045685111128
15,15,16,18,17,20,19,19,18,19,18,19,22,23,21,0.6141432313483727
1,2,4,8,9,7,9,10,7,7,5,9,13,12,11,0.0017628843714065923
4,4,4,6,8,5,10,7,6,8,8,9,13,13,13,0.04336964393981424
1,4,1,9,5,5,7,5,8,8,8,9,11,12,11,0.2912255463039327
2,3,1,8,8,7,6,8,7,5,8,5,11,11,12,0.3036856517720443
2,4,2,9,8,10,7,9,5,7,6,8,13,12,11,0.05714188573455459
15,16,16,18,19,17,19,18,17,18,20,18,21,23,21,0.616060063360391
2,1,3,7,10,9,5,9,7,7,8,7,11,12,11,0.13372397054641794
1,2,2,9,6,10,10,7,9,9,5,7,12,11,12,0.19998066927592761
1,3,1,5,6,10,8,9,7,6,8,10,12,13,11,0.03223859966227527
4,2,3,10,8,7,10,9,8,5,8,10,12,11,11,0.2695320313983268
2,2,4,10,5,7,9,10,9,10,8,5,12,11,12,0.47996409140498775
14,14,14,20,20,18,19,19,18,20,19,18,21,22,22,0.6191521391921853
16,16,15,20,18,18,20,20,17,18,17,20,23,23,21,0.9349726486454917
16,15,15,19,19,18,20,18,19,17,17,20,23,23,23,0.642514385736614
15,15,14,18,20,17,18,18,18,19,19,17,23,23,23,0.6144905176613047
14,16,14,17,18,17,18,20,18,19,17,18,22,22,21,0.9231610736115576
3,1,3,7,5,10,5,9,5,7,7,6,13,11,13,0.47610670371541564
2,4,3,10,10,10,6,5,7,5,7,8,13,13,12,0.342092057050045
15,16,15,19,20,20,17,17,19,18,20,18,23,22,22,0.5286899894702211
3,3,1,9,10,8,5,8,7,9,5,8,11,12,12,0.3617777316341755
16,16,16,18,18,18,20,17,17,19,19,18,21,21,21,0.845435543781205
16,14,15,18,18,18,19,20,19,20,19,19,21,22,21,0.5838808237643147
2,2,3,7,9,6,9,10,5,6,10,5,12,11,13,0.03739660525907196
14,16,14,19,20,17,20,18,18,18,17,18,21,22,21,0.6014810540866747
14,14,16,17,19,20,18,17,17,17,17,20,23,22,22,0.857656222133747
16,15,15,19,18,18,20,20,20,20,20,18,22,22,23,0.7345575473070165
16,16,14,20,17,18,20,19,17,18,17,17,22,23,22,0.5628939859468408
1,4,4,9,5,10,5,6,7,9,10,8,11,13,12,0.07060739224426438
15,14,14,18,18,20,19,17,17,17,20,18,22,23,23,0.6102807561114414
2,3,3,10,9,10,7,9,5,9,5,7,12,11,11,0.16641799809822944
1,3,4,5,8,10,10,9,7,8,6,8,11,13,13,0.3285019789778907
16,16,16,20,18,18,17,17,17,18,17,20,21,23,21,0.8877676333704445
15,15,16,19,20,19,18,19,20,19,18,17,23,21,23,0.593231412330143
14,14,14,19,17,17,20,19,17,20,19,20,23,22,23,0.8867393454359145
3,4,1,9,6,10,10,8,8,6,5,10,13,12,13,0.09164385236747807
14,16,16,20,17,17,18,19,18,17,17,19,22,21,23,0.6107140300804074
14,16,16,19,17,20,19,20,18,20,17,19,22,23,23,0.5959525463288112
1,1,1,7,6,10,7,5,6,6,5,7,13,11,12,0.04589503543016582
15,15,15,18,20,17,17,17,20,17,18,18,23,23,21,0.6087495270535981
15,15,15,20,19,17,19,17,20,20,18,17,22,23,21,0.8672216545279088
4,2,2,9,7,9,10,5,9,10,7,7,12,13,11,0.07785408508102254
3,4,4,10,8,7,9,7,7,6,8,5,13,12,13,0.0973451236225591
14,15,14,19,17,19,20,19,17,20,17,20,21,21,22,0.6627503401781275
